name,price,stock_quantity,description,brand
ROSUBEST-10,,2,Cholesterol tablet,ZYDUS/CADILA
ROSUBEST-20,,2,Cholesterol tablet,ZYDUS/CADILA
ROSUBEST-40,,2,Cholesterol tablet,ZYDUS/CADILA
ROSUBEST-F,,2,Cholesterol tablet,ZYDUS/CADILA
CALCIGEN-D3 CAP,,2,Calcium + Vitamin D3 capsule,ZYDUS/CADILA
CALCIGEN-D3 SHOTS,,2,Calcium + Vitamin D3 shots,ZYDUS/CADILA
ORITAXIM-200 TAB,,2,Antibiotic tablet,ZYDUS/CADILA
CASTOR-NF 15GM,,2,Topical cream,LEEFORD
CASTOR-NF 25GM,,2,Topical cream,LEEFORD
DERMIFORD-15GM,,2,Dermatological cream,LEEFORD
DERMIFORD-25GM,,2,Dermatological cream,LEEFORD
ULTRABRITE-15GM,,2,Skin cream,LEEFORD
ULTRABRITE-25GM,,2,Skin cream,LEEFORD
ELOSONE-HT 15GM,,2,Steroid cream,LEEFORD
ELOSONE-HT 25GM,,2,Steroid cream,LEEFORD
CLINSOL GEL 15GM,,2,Antiacne gel,LEEFORD
CLINSOL SOAP,,2,Antiacne soap,LEEFORD
DIECOLD TAB,,2,Cold tablet,LEEFORD
DIECOLD PLUS TAB,,2,Cold tablet,LEEFORD
PICOLEX SYP,,2,Laxative syrup,LEEFORD
AMROX-LS 60ML,,2,Cough syrup,LEEFORD
AMROX-LS 100ML,,2,Cough syrup,LEEFORD
ITROMED-100,,2,Antifungal capsule,LEEFORD
ITROMED-200,,2,Antifungal capsule,LEEFORD
NO SCARS CREAM,,2,Scar removal cream,TORQUE
MEDISALIC CREAM,,2,Skin cream,TORQUE
KETOMAC SHAMPOO,,2,Antifungal shampoo,TORQUE
GLYBIOTIC PLUS EAR DROP,,2,Antibiotic ear drops,TORQUE
CIPROMAC 250 TAB,,2,Antibiotic tablet,TORQUE
TOREX SYP 100ML,,2,Cough syrup,TORQUE
FIXIMAC 200,,2,Antibiotic tablet,TORQUE
HEMO PLUS 225ML,,2,Haemoglobin tonic,TORQUE
BEC-CG OINTMENT 10GM,,2,Topical ointment,ZENLAB
C-ZEN PLUS SYP,,2,Vitamin C syrup,ZENLAB
C-ZEN PLUS DS SYP,,2,Vitamin C syrup,ZENLAB
CLOBYTE GM LOTION,,2,Antifungal lotion,ZENLAB
CLOBYTE-S LOTION,,2,Antifungal lotion,ZENLAB
E-400 CAP,,2,Vitamin E capsule,ZENLAB
FERZEN CAP,,2,Iron supplement capsule,ZENLAB
MEP-4 TAB,,2,Tablet,ZENLAB
MEP-8 TAB,,2,Tablet,ZENLAB
MEP-16 TAB,,2,Tablet,ZENLAB
NEO CLOBYTE GM 10GM WHITE,,2,Antifungal cream,ZENLAB
CLOBYTE GM GOLD CREAM,,2,Antifungal cream,ZENLAB
NEUROPLEX CAP,,2,Neurological capsule,ZENLAB
ZENBEC-N CREAM,,2,Topical cream,ZENLAB
ZENLACTIN 200ML ORANGE,,2,Lactulose syrup,ZENLAB
ZENOVIT CAP,,2,Multivitamin capsule,ZENLAB
DICLORAN 3ML,,2,Diclofenac injection,JB CHEMICALS
RANTAC 2ML,,2,Antacid injection,JB CHEMICALS
DICLORAN AQ 1ML,,2,Diclofenac injection,JB CHEMICALS
DICLORAN A TAB,,2,Pain relief tablet,JB CHEMICALS
SKINBRITE 15GM RED,,2,Skin lightening cream,GALPHA
SKINBRITE 15GM WHITE,,2,Skin lightening cream,GALPHA
DICLOGAL SP,,2,Pain relief tablet,GALPHA
HEM GALPHA SYRUP,,2,Haematinic syrup,GALPHA
CEFACLASS 200,,2,Antibiotic tablet,PRIME MANKIND
MAHAMOX CV 625,,2,Antibiotic tablet,PRIME MANKIND
CEFACLASS-CV TAB,,2,Antibiotic tablet,PRIME MANKIND
AMIKIND 500INJ,,2,Antibiotic injection,PRIME MANKIND
AZIKIND 250 INJ,,2,Antibiotic injection,PRIME MANKIND
AZIKIND 500 INJ,,2,Antibiotic injection,PRIME MANKIND
PARTH PAIN RELIEF,,2,Pain relief tablet,PARTH
SALBUTAMOL TAB,,2,Bronchodilator tablet,PARTH
LOP-X TAB,,2,Tablet,PARTH
PARTH DICLO PLUS TAB,,2,Pain relief tablet,PARTH
METROPAR TAB,,2,Antihypertensive tablet,PARTH
DICLOFENAC GREEN TAB,,2,Pain relief tablet,PARTH
CO-TRI S.S,,2,Antibiotic tablet,PARTH
PEECOLD TAB,,2,Cold tablet,PARTH
LABMOX-250 CAP,,2,Antibiotic capsule,LABORATE
LABMOX-500 CAP,,2,Antibiotic capsule,LABORATE
LABMOX 250DT,,2,Antibiotic dispersible tablet,LABORATE
CEFLOX-DEE DROP,,2,Antibiotic eye drops,LABORATE
CEFLOX PLAIN DROP,,2,Antibiotic eye drops,LABORATE
FESTIVE-DEE DROP,,2,Eye drops,LABORATE
FESTIVE DROP,,2,Eye drops,LABORATE
TOBRA DROP,,2,Antibiotic eye drops,LABORATE
TOBRA-D DROP,,2,Antibiotic eye drops,LABORATE
MOXI DROP,,2,Antibiotic eye drops,LABORATE
MOXI-D DROP,,2,Antibiotic eye drops,LABORATE
DECO DROP,,2,Eye drops,LABORATE
DEXALAB 30ML,,2,Steroid eye drops,LABORATE
GENTALAB 30ML,,2,Antibiotic eye drops,LABORATE
KOLD TIME TAB,,2,Cold tablet,LABORATE
LABOCOF TAB,,2,Cough tablet,LABORATE
NFLOX-B 400 TAB,,2,Antibiotic tablet,LABORATE
NDS NFLOX-TZ TAB,,2,Antibiotic tablet,LABORATE
CEFLOX 500 (BLISTER),,2,Antibiotic tablet,LABORATE
CEFLOX 500 (ALU-ALU),,2,Antibiotic tablet,LABORATE
CIP-TZ TAB,,2,Antibiotic tablet,LABORATE
DOO-CLAV DS WITH WATER,,2,Antibiotic syrup,LABORATE
FESTIVE 200 YELLOW,,2,Eye drops,LABORATE
FESTIVE 200 ROUND WHITE,,2,Eye drops,LABORATE
FLUCOLAB 150 TAB,,2,Antifungal tablet,LABORATE
LABDIC RELIEF TAB,,2,Pain relief tablet,LABORATE
LABODERM OC CREAM,,2,Antifungal cream,LABORATE
CEFLOX CF CREAM,,2,Antibiotic cream,LABORATE
QUARD CREAM,,2,Topical cream,LABORATE
LANTAC-150,,2,Antacid tablet,LABORATE
LANTAC-D TAB,,2,Antacid tablet,LABORATE
RANI-150 TAB,,2,Antacid tablet,LABORATE
MAFLAB-DS SYP,,2,Syrup,LABORATE
PICOLUS SYP LABORATE,,2,Laxative syrup,LABORATE
PREDILAB-10 MG TAB,,2,Steroid tablet,LABORATE
PROTILAB CHOCOLATE POWDER,,2,Protein supplement,LABORATE
KT-5 DERM OINT,,2,Dermatological ointment,LABORATE
CIFTOX-LB TAB,,2,Antibiotic tablet,LABORATE
GENTACORT-D DROP,,2,Antibiotic + steroid eye drops,LABORATE
BETAMOX-LB CAP,,2,Antibiotic capsule,LABORATE
LABOCLOX-LB CAP,,2,Antibiotic capsule,LABORATE
SILVEZ-PLUS OINT,,2,Antiseptic ointment,LABORATE
AZIRIN-250 TAB,,2,Antibiotic tablet,LABORATE
AZIRIN-500 TAB,,2,Antibiotic tablet,LABORATE
AZILAB-250 TAB,,2,Antibiotic tablet,LABORATE
AZILAB-500 TAB,,2,Antibiotic tablet,LABORATE
ITRODERM-OC OINTMENT,,2,Antifungal ointment,LABORATE
AZILAB-200 SYP,,2,Antibiotic syrup,LABORATE
TOX-200 TAB,,2,Antibiotic tablet,LABORATE
TROXONE 1GM INJECTION,,2,Antibiotic injection,LABORATE
CLONAC PLUS SYRUP,,2,Pain relief syrup,LABORATE
CIPDEC 500,,2,Antibiotic tablet,LABORATE
VALERATE-N OINTMENT,,2,Steroid ointment,LABORATE
LABMOX-125 DT,,2,Antibiotic dispersible tablet,LABORATE
ACLOREADY PLUS TAB BLISTER,,2,Pain relief tablet,READYCURE
ACLOREADY PLUS TAB (ALU-ALU),,2,Pain relief tablet,READYCURE
ACLOREADY-SP TAB,,2,Pain relief tablet,READYCURE
ACLOREADY-P TAB (15TAB),,2,Pain relief tablet,READYCURE
AMROXTYCURE SYP (WITH WATER),,2,Cough syrup,READYCURE
AMROXTYCURE-CV SYP (WITHOUT WATER),,2,Antibiotic syrup,READYCURE
ANTACURE GEL (MINT),,2,Antacid gel,READYCURE
AZECURE-250 TAB,,2,Antibiotic tablet,READYCURE
AZECURE-500 TAB,,2,Antibiotic tablet,READYCURE
CALCIURE-D3 TAB,,2,Calcium + Vitamin D3 tablet,READYCURE
CEFDICURE-50 SYP (WITH WATER),,2,Antibiotic syrup,READYCURE
CEFDICURE-100 SYP (WITH WATER),,2,Antibiotic syrup,READYCURE
CETICURE-PLUS NF SYP,,2,Antihistamine syrup,READYCURE
CETICURE-PLUS DS NF SYP,,2,Antihistamine syrup,READYCURE
CETICURE-PLUS 3DX SYP,,2,Antihistamine syrup,READYCURE
CETICURE-PLUS TAB,,2,Antihistamine tablet,READYCURE
CETICURE-COLD N FLU TAB,,2,Cold & flu tablet,READYCURE
CURETHRIN SOAP,,2,Antiscabies soap,READYCURE
DEFLOCURE-6 TAB,,2,Steroid tablet,READYCURE
DEXAREADY 30ML,,2,Steroid eye drops,READYCURE
DICLOREADY AQUA 1ML,,2,Pain relief injection,READYCURE
DICLOREADY-SP TAB,,2,Pain relief tablet,READYCURE
DICLOREADY-MR TAB,,2,Pain relief tablet,READYCURE
DROTOCURE-MF TAB,,2,Antispasmodic tablet,READYCURE
FENAREADY-PLUS TAB,,2,Pain relief tablet,READYCURE
FERY READY 200ML,,2,Iron supplement syrup,READYCURE
FOLCURE-5 TAB,,2,Folic acid tablet,READYCURE
GENTAREADY 30ML,,2,Antibiotic eye drops,READYCURE
HUNGER READY RED 200ML,,2,Appetite syrup,READYCURE
HUNGER READY YELLOW 200ML,,2,Appetite syrup,READYCURE
IBROCURE SYP,,2,Pain relief syrup,READYCURE
KETOZURE-ZPT SOAP,,2,Antifungal soap,READYCURE
LIFOREADY-5 (BLISTER),,2,Tablet,READYCURE
LIFOREADY-5 (ALU-ALU),,2,Tablet,READYCURE
CETICURE 10 TAB (SMALL),,2,Antihistamine tablet,READYCURE
CETICURE 10 TAB (BIG)(1400 TAB),,2,Antihistamine tablet,READYCURE
LIVREADY-DS 200ML,,2,Liver tonic syrup,READYCURE
LIVREADY-ZYME 200ML,,2,Digestive enzyme syrup,READYCURE
MASCREADY-P TAB,,2,Pain relief tablet,READYCURE
SPASREADY TAB,,2,Antispasmodic tablet,READYCURE
MONTELCURE-L TAB,,2,Antiallergic tablet,READYCURE
MONTELCURE-L SYRUP 60ML,,2,Antiallergic syrup,READYCURE
MP CURE-4,,2,Tablet,READYCURE
MP-CURE 8,,2,Tablet,READYCURE
N-CURE 100 BLUE,,2,Tablet,READYCURE
N-CURE 100 BLACK,,2,Tablet,READYCURE
N-CURE 100 GREEN,,2,Tablet,READYCURE
NOFLOCURE-400 TAB,,2,Antibiotic tablet,READYCURE
OFOXCURE-200 TAB (BLISTER),,2,Antibiotic tablet,READYCURE
OFOXCURE-200 TAB (ALU-ALU),,2,Antibiotic tablet,READYCURE
OFOXCURE-OZ TAB,,2,Antibiotic tablet,READYCURE
OFOXCURE-MZ SYP 30ML,,2,Antibiotic syrup,READYCURE
OMECURE-20,,2,Acid reflux capsule,READYCURE
OMEREADY-20,,2,Acid reflux capsule,READYCURE
OMECURE-D,,2,Acid reflux capsule,READYCURE
ONDEREADY-MD,,2,Antiemetic tablet,READYCURE
PANTAREADY-DSR,,2,Acid reflux capsule,READYCURE
PARACEE 500,,2,Paracetamol tablet,READYCURE
P-NICURE 10,,2,Tablet,READYCURE
PRENICURE-5 TAB,,2,Steroid tablet,READYCURE
RABREADY-DSR TAB,,2,Acid reflux tablet,READYCURE
RANTICURE-150,,2,Antacid tablet,READYCURE
RANTICURE-D TAB,,2,Antacid tablet,READYCURE
READYCOF BR 60ML,,2,Cough syrup,READYCURE
READYCOF BR 100ML,,2,Cough syrup,READYCURE
READYCOF DX 60ML,,2,Cough syrup,READYCURE
READYCOF DX 100ML,,2,Cough syrup,READYCURE
READYCOF LS 100ML,,2,Cough syrup,READYCURE
READYCOF LS 60ML,,2,Cough syrup,READYCURE
READYCOUGH DMR 60ML GREEN,,2,Cough syrup,READYCURE
READYCOUGH DMR 100ML GREEN,,2,Cough syrup,READYCURE
READYCOF AT 60ML,,2,Cough syrup,READYCURE
READYOF AT 100ML,,2,Cough syrup,READYCURE
READYCURE MULTIVITAMIN SYRUP 200ML,,2,Multivitamin syrup,READYCURE
READYCURE MULTIVITAMIN CAPS,,2,Multivitamin capsule,READYCURE
READYCURE READY VITAL CAPS (BLISTER),,2,Multivitamin capsule,READYCURE
READY-VITAL CAP (ALU-ALU),,2,Multivitamin capsule,READYCURE
READYDINE-O OINT 15GM,,2,Antiseptic ointment,READYCURE
READYDERM-K5 OINT,,2,Dermatological ointment,READYCURE
READYDOX 100 TAB,,2,Antibiotic tablet,READYCURE
DOXREADY-LB CAP,,2,Antibiotic capsule,READYCURE
READY RELIEF TAB (AMBER),,2,Pain relief tablet,READYCURE
READY RELIEF TAB (RED),,2,Pain relief tablet,READYCURE
READY RELIEF GEL 30GM,,2,Pain relief gel,READYCURE
READYSULIDE-P (GOLDEN),,2,Pain relief tablet,READYCURE
READYSULIDE-P (DOUBLE COLOR),,2,Pain relief tablet,READYCURE
READYSULIDE-P (AMBER),,2,Pain relief tablet,READYCURE
ZYME READY 200ML,,2,Digestive enzyme syrup,READYCURE
SLOOMECURE PLUS TAB (20*15),,2,Tablet,READYCURE
ZINOCURE 200ML SYRUP,,2,Zinc syrup,READYCURE
READYXIME-LB SYP,,2,Antibiotic syrup,READYCURE
READYXIME SYP WITH WATER,,2,Antibiotic syrup,READYCURE
READYCLOX-LB CAP,,2,Antibiotic capsule,READYCURE
READYXIME-LB 200 TAB,,2,Antibiotic tablet,READYCURE
READYXIME 100 DT,,2,Antibiotic dispersible tablet,READYCURE
AMIREADY 500 INJ,,2,Antibiotic injection,READYCURE
READYLICO SYP 225ML,,2,Syrup,READYCURE
MEFREADY DS 60ML,,2,Pain relief syrup,READYCURE
READYCURE GLUCOSE C (ORANGE),,2,Glucose powder,READYCURE
READYCURE GLUCOSE D (GREEN),,2,Glucose powder,READYCURE
READYPOD 200 DT,,2,Antibiotic dispersible tablet,READYCURE
READYMENTIN-CV 625 LB,,2,Antibiotic tablet,READYCURE
READYPROT DHA (CHOCOLATE),,2,Protein supplement,READYCURE
READYPROT DHA (KESAR PISTA),,2,Protein supplement,READYCURE
READYTRA 200 CAP,,2,Capsule,READYCURE
MUSCARE-P,,2,Pain relief tablet,RANGE ITEMS
FENAK PLUS TAB,,2,Pain relief tablet,RANGE ITEMS
STANCORT,,2,Steroid tablet,RANGE ITEMS
DERMA-KT,,2,Antifungal cream,RANGE ITEMS
DERMA-RX,,2,Dermatological cream,RANGE ITEMS
DA-ZEAGRA TAB,,2,Erectile dysfunction tablet,RANGE ITEMS
DERMI-5 CREAM,,2,Steroid cream,RANGE ITEMS
MELAMET CREAM,,2,Skin lightening cream,RANGE ITEMS
ZEFF TAB,,2,Antibiotic tablet,RANGE ITEMS
VETAPION 2ML,,2,Injection,RANGE ITEMS
ZANBETA INJ,,2,Injection,RANGE ITEMS
MVI INJECTION,,2,Multivitamin injection,RANGE ITEMS
IROSON INJ,,2,Iron supplement injection,RANGE ITEMS
MONOTAX 1GM,,2,Antibiotic injection,RANGE ITEMS
RANBAXY CHYWANPRASH,,2,Ayurvedic supplement,RANGE ITEMS
NEUROVIT-12 INJ,,2,Vitamin B12 injection,RANGE ITEMS
AGINAL-5,,2,Tablet,RANGE ITEMS
AGINAL-AT,,2,Tablet,RANGE ITEMS
CIPRO CF 15GM,,2,Antibiotic cream,RANGE ITEMS
INDO TIGER DERM CREAM,,2,Dermatological cream,RANGE ITEMS
DURADERM NF CREAM,,2,Dermatological cream,RANGE ITEMS
INDKUS PAIN RELIEF TAB,,2,Pain relief tablet,RANGE ITEMS
ARICEF 200 MICRO,,2,Antibiotic tablet,RANGE ITEMS
ARICEF O PLUS MICRO,,2,Antibiotic tablet,RANGE ITEMS
CALCIQUICK-D3 60K CAP,,2,Vitamin D3 capsule,DR. MORPEN
CALCIQUICK-D3 SHOTS,,2,Vitamin D3 shots,DR. MORPEN
CALCIQUICK-K2-7 STRONG,,2,Vitamin K2 + D3 tablet,DR. MORPEN
CREMOPEN PLUS SYRUP,,2,Syrup,DR. MORPEN
ESOPEN-DSR CAP,,2,Acid reflux capsule,DR. MORPEN
ESOPEN-LS CAP,,2,Acid reflux capsule,DR. MORPEN
DIAMORE-MSM TAB,,2,Antidiabetic tablet,DR. MORPEN
DIAMORE-GM TAB,,2,Antidiabetic tablet,DR. MORPEN
FERODOC-XT TAB,,2,Iron supplement tablet,DR. MORPEN
LINOMORE-600 TAB,,2,Antibiotic tablet,DR. MORPEN
MONTYMO-FX TAB,,2,Antiallergic tablet,DR. MORPEN
MONTYMO-FX AB TAB,,2,Antiallergic tablet,DR. MORPEN
BIFI BIOTIC SACHET,,2,Probiotic sachet,DR. MORPEN
MORE BIOTIC CAPS,,2,Probiotic capsule,DR. MORPEN
MORE-ZYME TAB,,2,Digestive enzyme tablet,DR. MORPEN
PANTIMO-DSR CAPS,,2,Acid reflux capsule,DR. MORPEN
PANTOMORE-DSR CAPS,,2,Acid reflux capsule,DR. MORPEN
PENTATE-LS CAPS,,2,Acid reflux capsule,DR. MORPEN
R.B KOOL DSR CAP,,2,Acid reflux capsule,DR. MORPEN
R.B KOOL LS CAP,,2,Acid reflux capsule,DR. MORPEN
THIODOC ACE-4 TAB,,2,Tablet,DR. MORPEN
THIODOC-ACE PLUS TAB,,2,Tablet,DR. MORPEN
THIODOC-ET TAB,,2,Tablet,DR. MORPEN
MONTYCO-LC TAB,,2,Antiallergic tablet,DR. MORPEN
VERTIDOC-8 TAB,,2,Vertigo tablet,DR. MORPEN
VERTIDOC-16 TAB,,2,Vertigo tablet,DR. MORPEN
DEFLAFINE-6 TAB,,2,Steroid tablet,DR. MORPEN
STEAMORE-MD,,2,Tablet,DR. MORPEN
TERBINADOC-250,,2,Antifungal tablet,DR. MORPEN
RABIDOC-DSR CAP,,2,Acid reflux capsule,DR. MORPEN
CALCIQUICK-K2 TAB,,2,Vitamin K2 tablet,DR. MORPEN
SEROPEN-D TAB,,2,Tablet,DR. MORPEN
SEROPEN-DP TAB,,2,Tablet,DR. MORPEN
BULLFORD CITRASOL,,2,Supplement,BULLFORD
Y-GRA 100 TAB,,2,Erectile dysfunction tablet,BULLFORD
ENOCIN-B 250 TAB,,2,Antibiotic tablet,BULLFORD
ENOCIN-B 500 TAB,,2,Antibiotic tablet,BULLFORD
RELAXAZONE TAB,,2,Muscle relaxant tablet,BULLFORD
FENA MR TAB,,2,Pain relief tablet,BULLFORD
METABUL TAB,,2,Antidiabetic tablet,BULLFORD
GRISO-CZ TAB,,2,Antifungal tablet,BULLFORD
KUFFTUS-Q TAB,,2,Cough tablet,BULLFORD
MIFI SPAS TAB,,2,Antispasmodic tablet,BULLFORD
IGPYRIN TAB,,2,Pain relief tablet,BULLFORD
ZEN-10 TAB,,2,Tablet,BULLFORD
DICLOFON-MR TAB,,2,Pain relief tablet,PIL
TROMANIL PLUS TAB,,2,Analgesic tablet,PIL
TROMANIL SUPER TAB,,2,Analgesic tablet,PIL
TROMANIL FORTE TAB,,2,Analgesic tablet,PIL
TROMANIL-MR TAB,,2,Analgesic tablet,PIL
VOLFLAM PLUS TAB,,2,Pain relief tablet,PIL
ORTHODEX GEL 15GM,,2,Pain relief gel,PIL
ORTHODEX GEL 30GM,,2,Pain relief gel,PIL
ORTHODEX GEL 50GM,,2,Pain relief gel,PIL
ORTHODEX SPRAY,,2,Pain relief spray,PIL
CEDOPIL 50 SYP,,2,Antibiotic syrup,PIL
CEDOPIL-CV SYP,,2,Antibiotic syrup,PIL
MOXIPIL CV KID TAB,,2,Antibiotic tablet (paediatric),PIL
MOXIPIL CV DROP,,2,Antibiotic drops,PIL
MOXIPIL-CL 200 SYP,,2,Antibiotic syrup,PIL
MOXIPIL-CV 400MG SYP,,2,Antibiotic syrup,PIL
GM-SR 1,,2,Antidiabetic tablet,PIL
GM-SR 2,,2,Antidiabetic tablet,PIL
PIL GPM SR-1,,2,Antidiabetic tablet,PIL
PIL GPM SR-2,,2,Antidiabetic tablet,PIL
SENSOPIL GEL,,2,Topical gel,PIL
PILTOP DSR,,2,Acid reflux capsule,PIL
DELSONE-5 TAB,,2,Steroid tablet,PIL
DELSONE-10 TAB,,2,Steroid tablet,PIL
DELSONE-20 TAB,,2,Steroid tablet,PIL
SNEECURE-EXTRA TAB,,2,Cold & allergy tablet,PIL
PILZINE-10 TAB,,2,Antihistamine tablet,PIL
AMBROPIL BR 100ML,,2,Cough syrup,PIL
CHERIDRYL JUNIOR 50ML,,2,Antihistamine syrup,PIL
SOTHREX JUNIOR 50ML,,2,Cough syrup,PIL
SOTHREX BR 100ML,,2,Cough syrup,PIL
SOTHREX PLUS 100ML,,2,Cough syrup,PIL
SOTHREX TUSLI 100ML,,2,Cough syrup,PIL
NASOPIL ADULT DROP,,2,Nasal drops,PIL
NASOPIL PAEDIATRIC DROP,,2,Nasal drops (paediatric),PIL
ONDAPIL-MD TAB,,2,Antiemetic tablet,PIL
CREMAPIL-PLUS SYP,,2,Syrup,PIL
T-SOAP SOAP,,2,Medicated soap,PIL
SCABEPIL LOTION 100ML,,2,Antiscabies lotion,PIL
DEADDICT-250 TAB,,2,Tablet,PIL
DEADDICT-500 TAB,,2,Tablet,PIL
ACCECLOWOC P TAB,,2,Pain relief tablet,WOCKHARDT
ACCECLOWOC SP TAB,,2,Pain relief tablet,WOCKHARDT
ESOPRAZOLE DSR CAP,,2,Acid reflux capsule,WOCKHARDT
FERRIWOK XT TAB,,2,Iron supplement tablet,WOCKHARDT
MAGENTA 20ML,,2,Injection,WOCKHARDT
MERIDECA 20ML,,2,Injection,WOCKHARDT
MERISULIDE PLUS TAB,,2,Pain relief tablet,WOCKHARDT
MONTEWOK LC TAB,,2,Antiallergic tablet,WOCKHARDT
PENTOWOK DSR CAP,,2,Acid reflux capsule,WOCKHARDT
RABIWOK DSR CAP,,2,Acid reflux capsule,WOCKHARDT
VIGOXXX 100,,2,Erectile dysfunction tablet,WOCKHARDT
WOLYTE-EL POWDER,,2,Electrolyte powder,WOCKHARDT
